Unnamed: 0;Q100;Q200;Q300;Q400;Q500;Q600;P100;P200;P300;P400;P500;P600;IK91;IK92;IK93;IK94;IK95;IK96;IK101;IK102;IK103;IK104;IK105;IK106
dP_leiding_a_min;-0.000008;-0.000012;-0.0000078;-0.000007;-0.0000115;-0.000011;-0.0000054;-0.000006;-0.000009;-0.0000011;-0.0000033;-0.000004;-0.000053;-0.0000327;-0.0000026;-0.000045;-1.06037E-05;-0.00026;-0.00013;-0.000052;-0.000026;-0.00005;-0.00008;-0.0000675
dP_leiding_a_act;-0.0000125;-0.0000155;-0.000014;-0.00001;-0.000017;-0.000018;-0.0000054;-0.000007;-0.000014;-0.000006;-0.000006;-0.00001;-0.00009;-0.000045;-0.0000245;-0.000087;-0.000038;-0.000422;-9.40992E-05;-0.00008;-0.00004;-0.000088;-0.00008;-0.0001
dP_leiding_a;-0.0000135;-0.0000195;-0.000022;-0.000015;-0.00002;-0.000027;-0.0000085;-0.000012;-0.000017;-0.000008;-0.000014;-0.000018;-0.000098;-0.000069;-0.00005;-0.0001;-0.000042;-0.000623;-0.00017;-0.00008;-0.00009;-0.000088;-0.00023;-0.00036
dP_wvp_a;-0.0155;-0.016;-0.026;-0.021;-0.02;-0.0275;-0.017;-0.017;-0.0205;-0.0205;-0.029;-0.0215;-0.020958333;-0.014601571;-0.015855856;-0.020392401;-0.026073187;-0.038895682;-0.031166808;-0.013830504;-0.014536742;-0.016179868;-0.016034116;-0.01769897
leiding_a_slope;-1.20E-09;-4.99E-10;-1.32E-09;-4.76E-10;-8.12E-10;-1.50E-09;-4.70E-10;-7.70E-10;-1.23E-09;-1.40E-09;-1.37E-09;-2.00E-09;-1.80E-08;-3.00E-08;-2.50E-08;-2.80E-08;-1.40E-08;-1.00E-07;-1.80E-08;-2.00E-08;-5.00E-09;-3.00E-08;-5.00E-08;-2.00E-08
put_a_slope;-2.48E-05;-1.00E-05;-6.00E-06;-5.00E-06;-5.00E-06;-5.00E-04;-3.00E-04;-5.00E-06;-3.50E-04;-5.00E-06;-1.17E-05;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06
dP_wvp_a_min;Geen waarde;Geen waarde;Geen waarde;-0.015;Geen waarde;-0.014;-0.012;-0.014;-0.013;Geen waarde;Geen waarde;Geen waarde;-0.030406367;-0.012429531;-0.012397441;-0.015353621;-0.016475408;-0.022714562;-0.026273353;-0.01204737;-0.010965707;-0.012504851;-0.011312849;-0.013974449
dP_wvp_a_act;Geen waarde;Geen waarde;Geen waarde;-0.017;Geen waarde;-0.025;-0.0125;-0.015;-0.017;Geen waarde;Geen waarde;Geen waarde;-0.034669518;-0.014652889;-0.014698023;-0.018290188;-0.022879253;-0.026149372;-0.030613052;-0.014209568;-0.013811045;-0.015569882;-0.016174439;-0.016611107
dP_wvp_a_max;-0.0155;-0.016;-0.026;-0.021;-0.02;-0.0275;-0.017;-0.017;-0.0205;-0.0205;-0.029;-0.0215;-0.03523091;-0.014652889;-0.015855856;-0.020392401;-0.026073187;-0.038895682;-0.031166808;-0.014209568;-0.014536742;-0.016179868;-0.016174439;-0.01769897
T;30D;40D;40D;55D;35D;Niet;25D;35D;Niet;40D;50D;Niet;75D;40D;35D;30D;30D;45D;35D;35D;60D;45D;45D;50D
T_sigma;55D;45D;30D;40D;55D;40D;70D;45D;65D;15D;35D;40D;45D;45D;45D;45D;45D;45D;45D;45D;45D;45D;45D;45D
hpand;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8
hluchthappen;-3.7;-3.7;-3.7;-3.7;-3.7;-3.7;-3.7;-3.7;-3.7;-3.7;-3.7;-3.7;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9
hverbindinghaalbuis;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;4.15;4.15;4.15;4.15;4.15;4.15;4.15;4.15;4.15;4.15;4.15;4.15
hmaaiveld;3.37;2.83;2.92;2.93;2.94;3.77;3.29;2.96;3.19;2.77;2.96;3.17;5.04;6.2;6.12;6.12;6.13;6.75;5.25;6.2;6.11;6.09;6.19;6.23
hbovenkantfilter;-0.5;-0.53;-0.52;-0.51;-0.46;-0.48;-1.02;-0.5;-0.5;-0.73;-0.69;-1.49;1.94;1.63;1.85;1.86;1.8;1.96;1.91;1.98;1.66;1.96;1.93;1.95
honderkantfilter;-5.5;-5.53;-5.52;-5.51;-5.46;-5.48;-6.02;-5.5;-5.5;-5.73;-5.69;-6.49;-2.54;-2.86;-2.63;-2.61;-2.69;-2.52;-2.57;-2.5;-2.82;-2.53;-2.55;-2.54
dpi1;50;100;100;100;100;100;100;75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
dpi2;50;100;100;100;100;100;100;75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Qlim_bio;428;1050;410;550;580;661;525;705;706;450;400;818;351;507.6;465.3;423;423;552;262.7;507.6;465.3;437.1;451.2;423
Qpomp;500;500;500;500;500;500;500;500;500;500;500;500;288;288;288;288;288;115;288;288;288;288;288;288
corr_temp_leiding;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
test2009;;;;;;;;;;;;;254;270;264;300;300;;259;270;263;248;272;248
test2015;344;416;206;332;320;267;422;348;286;273;244;341;195;253;214;226;255;;183;238;210;249;205;248
test2021;353.4;345;237.8;346.5;324.8;147.5;315;329;289.8;247.5;220;226.3;;;;;;;;;;;;
nput;57;69;41;55;58;59;70;47;63;45;40;73;39;36;33;30;30;23;36;36;35;31;32;30
Qlim_bio_per_put;7.5;15;10;10;10;11.2;7.5;15;11.2;10;10;11.2;9;14.1;14.1;14.1;14.1;24;7.1;14.1;14.1;14.1;14.1;14.1
Qmin_inzetvolgorde20230523;2;2;2;2;2;2;2;2;2;3;2;2;2;3.5;3.5;3.5;3.5;3.2;3.2;3.5;5.5;3.5;4;3.5
Qmax_inzetvolgorde20230523;6;5;5.5;4.5;6;3;5;7.2;4.6;5.2;5;3.1;4.2;6.2;7.7;5.5;5;3.5;4.5;5;5.5;7.6;7.3;7.5
hleidingdruk;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75
hleidingdruk_offset;0.15;-0.18;-0.21;-0.2;0.06;-0.02;0.34;0.37;0.02;0.1;-0.12;0.08;-1.47;-0.45;-0.08;-2.39;-0.12;-2.76;-3.28;-3.29;-0.52;-2.59;-2.17;-3.5
hverbindingvacuum;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75
test2015_per_put;6.035087719;6.028985507;5.024390244;6.036363636;5.517241379;4.525423729;6.028571429;7.404255319;4.53968254;6.066666667;6.1;5.014705882;5;7.027777778;6.484848485;7.533333333;8.5;FALSE;4.945945946;6.611111111;6.363636364;8.032258065;6.40625;8.266666667
PA_tag_prefix;CAWQ01;CAWQ02;CAWQ03;CAWQ04;CAWQ05;CAWQ06;CAWP01;CAWP02;CAWP03;CAWP04;CAWP05;CAWP06;HEW901;HEW902;HEW903;HEW904;HEW905;HEW906;HEW101;HEW102;HEW103;HEW104;HEW105;HEW106
