Strang 	Effect (m3/h) 	Welke schoonmaken? 	Limieten                                   	Limieten_na_schoonmaak
Q100   	NIHIL         	-                  	Verblijftijd                               	-
Q200   	18            	Leiding en filter  	Vacuumsysteem                              	Vacuumsysteem
Q300   	NIHIL         	-                  	Vacuumsysteem, Luchthappen                 	-
Q400   	NIHIL         	-                  	Vacuumsysteem, Luchthappen                 	-
Q500   	NIHIL         	-                  	Vacuumsysteem, Luchthappen                 	-
Q600   	66            	Filter             	Vacuumsysteem, Luchthappen                 	Vacuumsysteem, Luchthappen
P100   	57            	Filter             	Pompcapaciteit, Vacuumsysteem, Luchthappen 	Pompcapaciteit, Verblijftijd
P200   	NIHIL         	-                  	Vacuumsysteem, Luchthappen                 	-
P300   	62            	Filter             	Vacuumsysteem, Luchthappen                 	Vacuumsysteem, Luchthappen
P400   	NIHIL         	-                  	Luchthappen, Verblijftijd                  	-
P500   	NIHIL         	-                  	Luchthappen                                	-
P600   	NIHIL         	-                  	Vacuumsysteem, Luchthappen                 	-
IK91   	10            	Leiding            	Vacuumsysteem, Luchthappen                 	Vacuumsysteem, Luchthappen
IK92   	NIHIL         	-                  	Pompcapaciteit, Vacuumsysteem              	-
IK93   	NIHIL         	-                  	Pompcapaciteit                             	-
IK94   	27            	Leiding            	Pompcapaciteit, Vacuumsysteem              	Pompcapaciteit
IK95   	NIHIL         	-                  	Pompcapaciteit, Luchthappen                	-
IK96   	0             	Leiding            	Pompcapaciteit                             	Pompcapaciteit
IK101  	NIHIL         	-                  	Vacuumsysteem, Verblijftijd                	-
IK102  	NIHIL         	-                  	Pompcapaciteit                             	-
IK103  	NIHIL         	-                  	Pompcapaciteit, Vacuumsysteem              	-
IK104  	13            	Leiding en filter  	Pompcapaciteit, Vacuumsysteem              	Pompcapaciteit
IK105  	NIHIL         	-                  	Pompcapaciteit                             	-
IK106  	NIHIL         	-                  	Pompcapaciteit, Vacuumsysteem              	-
