Strang	Q_min [m3/h] (model;Δh=2.0m)	Q_min [m3/h] (inzetvolgorde feb 2025)	Q_max [m3/h] (model)	Q_max [m3/h] (inzetvolgorde 2023)	Aantal putten	Q_min [m3/h] (model;Δh=1,5m)	Q_min [m3/h] (inzetvolgorde 2023)	Q_max [m3/h] (model)	Q_max [m3/h] (inzetvolgorde 2023)
Q100	2.2	2.0	7.2	6.6	57	126	114	411	376	
Q200	2.8	2.0	5.9	4.6	69	190	138	404	317	
Q300	3.1	2.0	6.7	7.1	41	129	82	273	291	
Q400	2.6	2.0	6.1	5.9	55	141	110	338	324	
Q500	2.2	2.0	6.2	6.0	58	129	116	357	348	
Q600	1.0	2.0	4.4	3.5	59	57	118	258	206	
P100	2.5	2.0	6.7	5.5	70	175	140	472	385	
P200	2.8	2.0	7.3	7.2	47	133	94	344	338	
P300	2.2	2.0	5.4	5.0	63	139	126	342	315	
P400	3.2	2.0	7.4	6.0	45	146	90	334	270	
P500	2.4	2.0	5.7	5.5	40	96	80	229	220	
P600	1.2	2.0	4.4	3.5	73	88	146	323	256	
IK91	2.4	2.0	4.6	4.8	39	96	78	178	187	
IK92	3.6	3.5	6.9	6.2	36	131	126	249	223	
IK93	4.1	3.5	8.7	6.0	33	137	116	288	198	
IK94	3.5	3.5	8.8	6.7	30	105	105	263	201	
IK95	2.7	3.5	8.0	0.0	30	82	105	241	0	
IK96	1.8	3.0	5.0	3.2	23	41	69	115	74	
IK101	3.1	3.2	5.8	0.0	36	113	115	210	0	
IK102	4.0	3.0	8.0	5.5	36	145	108	288	198	
IK103	4.3	5.7	8.2	0.0	35	152	200	288	0	
IK104	4.5	3.5	9.2	8.1	31	139	108	284	251	
IK105	4.4	3.5	9.0	7.3	32	139	112	288	234	
IK106	3.8	3.5	8.7	8.1	30	113	105	261	243	
